function_memory,function_mean_duration,policy,cost,utility

# modello con scaling, versione tracce reali, 360000
0.400,probabilistic-function,10.86351591300046,1373481.5000071218
0.400,predictive-function,10.739787228094992,1393582.60000831
0.400,online-predictive-function,10.622179896789342,1381254.1000075461
0.400,online-adaptive-function,10.61685254127063,1381160.7000075523

# modello con scaling, versione tracce reali, 7200
0.400,probabilistic-function,1.652903679092283,176638.50000028723
0.400,predictive-function,1.6492145721146825,177211.50000029037
0.400,online-predictive-function,1.6487806860856566,177618.5000002912
0.400,online-adaptive-function,1.648990057353063,177738.40000029383

# modello con scaling, versione tracce reali, 72000
0.400,probabilistic-function,10.86351591300046,1373481.5000071218
0.400,predictive-function,10.739787228094992,1393582.60000831
0.400,online-predictive-function,10.607903955014319,1381977.9000076177
0.400,online-adaptive-function,10.615071521718342,1383441.7000076796

mega run with 2 nodes

func_mem = 128
0.3,probabilistic-function,2.580176575851428,258925.60000067795
0.3,predictive-function,2.6374678626185375,276619.20000044804
0.3,online-predictive-function,2.505402493112078,257673.40000067226
0.3,online-adaptive-function,2.577724818731952,266355.10000060167

0.4,probabilistic-function,3.109878389076571,266572.10000047064
0.4,predictive-function,3.6921663570396555,269038.6000004517
0.4,online-predictive-function,2.761716805953695,250698.9000005158
0.4,online-adaptive-function,2.9149856067328104,264508.9000004841

func_mem = 256
0.3,probabilistic-function,3.4717329956282548,285030.700000271
0.3,predictive-function,5.358595716136681,298963.4000001212
0.3,online-predictive-function,3.9008163536268317,279782.50000035134
0.3,online-adaptive-function,3.9588303607521707,281975.00000033074

0.4,probabilistic-function,4.46590492568592,261114.60000050117
0.4,predictive-function,5.738047481430888,262893.9000005312
0.4,online-predictive-function,5.088266761660541,261871.2000005219
0.4,online-adaptive-function,4.675398421341591,261384.40000052255

# only one edge and one function
0.4,probabilistic-function,0.7570763372650912,27349.79999999405
0.4,predictive-function,0.728091768159274,27570.299999993935
0.4,online-predictive-function,0.7492793538134127,27393.899999993977
0.4,online-adaptive-function,0.7544552069838387,27354.19999999403


# big run with only 2 memory policies
close-door-time = 144000
memory: 128
0.3,probabilistic-function,11.417782029866736,3364041.000106713
0.3,probabilistic-memory-function,26.377020687592726,2528175.400092556
0.3,predictive-function,10.779112022300058,3377076.500107558
0.3,online-predictive-function,11.037792840984618,3342676.2001072904
0.3,online-adaptive-function,11.090798785314698,3355299.8001064677
0.3,online-adaptive-memory-function,28.466011793897533,2926250.4000926055

close-door-time = 3600
memory: 128

0.3,probabilistic-function,0.5300191078463364,127626.9000001515
0.3,probabilistic-memory-function,1.1664387852114784,119749.00000016241
0.3,predictive-function,0.5339587868490399,127606.80000015024
0.3,online-predictive-function,0.5427955084267488,128314.60000015152
0.3,online-adaptive-function,0.5427955084267488,128314.60000015152
0.3,online-adaptive-memory-function,1.1664387852114784,119749.00000016241

solo memory policies, close-door-time = 144000:
0.3,probabilistic-memory-function,26.377020687592726,2528175.400092556
0.3,online-adaptive-memory-function,30.7648080816189,3222703.0000964855


close-door-time = 72000
mem = 128
traces: all
0.3,probabilistic-function,0.04863207421406001,12353.200000001383
0.3,probabilistic-memory-function,0.10401593964159198,12780.40000000153
0.3,predictive-function,0.04832417019473981,12290.900000001395
0.3,online-predictive-function,0.04820033849934721,12313.400000001404
0.3,online-adaptive-function,0.04820033849934721,12313.400000001404
0.3,online-adaptive-memory-function,0.10401593964159198,12780.40000000153
